Question ID,Question Text,Answer ID,Answer Text,Is Reference
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA_52b-a1,"The windows were cooler than the water vapor in the air, causing the vapor to condense.",True
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.171.1,"The windows in the car were cold because it was cold outside. There was lots of water vapor in the car, so it stuck to the cold windows and changed into condensation water.",False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.174.1,They were cold and since Johnny probably turned the heat on the water vapor would turn into water again and settle onto the windows.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.175.1,Condensation only occurs on cold surfaces and the windows are cold so the water vapor condense on them.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.178.1,The condensation to form on the windows was the coldness of the cold air outside.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.179.1,No answer.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.180.1,It was when something warm touches something cold it makes condensation.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.183.1,When water vapor touches a cold surface it becomes water vapor.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.188.1,When hot or warm air touches cold air it becomes fog or condensation. The air outside was cold so it made the window cold.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.189.1,When coldness touches warm air it turns into condensation.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.191.1,Water vapor caused the fog or condensation to form on the windows.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.193.1,The windows caused fog to form because the heater was probably on and the windows were cold so it caused condensation.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.194.1,Hot air touching cold air.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.195.1,They were very cold.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.198.1,Probably because the window was warm.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.206.1,The windows had to be cold condensation forms when water vapor touches a cold surface.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.208.1,The condensation.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.209.1,The water vapor caused it to fog up.,False
seb2custom:WA_52b,"Johnny drove to the store with his father one cold and rainy night. They had only driven a short distance when the windows ""fogged up"" on the inside. What was it about the windows that caused the ""fog"" to form on them?",WA.52b.212.1,It was raining so water vapor made that fog to form on the windows because rain clouds carry water vapor.,False
