Question ID,Question Text,Answer ID,Answer Text,Is Reference
seb2custom:HB_24b1,Throwing a ball uses a hinge joint and a ball-and-socket joint. Describe how each of these 2 joints moves when you throw a ball. The hinge joint ___.,HB_24b1-a1,moves back-and-forth.,True
seb2custom:HB_24b1,Throwing a ball uses a hinge joint and a ball-and-socket joint. Describe how each of these 2 joints moves when you throw a ball. The hinge joint ___.,HB.24b1.136.1,It is bending.,False
seb2custom:HB_24b1,Throwing a ball uses a hinge joint and a ball-and-socket joint. Describe how each of these 2 joints moves when you throw a ball. The hinge joint ___.,HB.24b1.138.1,It moves front and back to throw the ball.,False
seb2custom:HB_24b1,Throwing a ball uses a hinge joint and a ball-and-socket joint. Describe how each of these 2 joints moves when you throw a ball. The hinge joint ___.,HB.24b1.148.1,Back and forth.,False
seb2custom:HB_24b1,Throwing a ball uses a hinge joint and a ball-and-socket joint. Describe how each of these 2 joints moves when you throw a ball. The hinge joint ___.,HB.24b1.172.1,The shoulder moves back the elbow go back and the wrist go forward.,False
seb2custom:HB_24b1,Throwing a ball uses a hinge joint and a ball-and-socket joint. Describe how each of these 2 joints moves when you throw a ball. The hinge joint ___.,HB.24b1.176.1,It goes back and forth.,False
seb2custom:HB_24b1,Throwing a ball uses a hinge joint and a ball-and-socket joint. Describe how each of these 2 joints moves when you throw a ball. The hinge joint ___.,HB.24b1.178.1,Back and forth.,False
seb2custom:HB_24b1,Throwing a ball uses a hinge joint and a ball-and-socket joint. Describe how each of these 2 joints moves when you throw a ball. The hinge joint ___.,HB.24b1.180.1,Goes back and forth when you throw a ball.,False
seb2custom:HB_24b1,Throwing a ball uses a hinge joint and a ball-and-socket joint. Describe how each of these 2 joints moves when you throw a ball. The hinge joint ___.,HB.24b1.185.1,It bends forward.,False
seb2custom:HB_24b1,Throwing a ball uses a hinge joint and a ball-and-socket joint. Describe how each of these 2 joints moves when you throw a ball. The hinge joint ___.,HB.24b1.216.1,Rotates.,False
seb2custom:HB_24b1,Throwing a ball uses a hinge joint and a ball-and-socket joint. Describe how each of these 2 joints moves when you throw a ball. The hinge joint ___.,HB.24b1.219.1,Elbow.,False
seb2custom:HB_24b1,Throwing a ball uses a hinge joint and a ball-and-socket joint. Describe how each of these 2 joints moves when you throw a ball. The hinge joint ___.,HB.24b1.220.1,It go in and out.,False
seb2custom:HB_24b1,Throwing a ball uses a hinge joint and a ball-and-socket joint. Describe how each of these 2 joints moves when you throw a ball. The hinge joint ___.,HB.24b1.243.1,Help release the ball when it goes out.,False
