Question ID,Question Text,Answer ID,Answer Text,Is Reference
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB_35-a1,The muscle in the back of the leg (the gastrocnemius) contracts and the muscle in the front of the leg (the tibia) relaxes to make the foot point.,True
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.136.1,The muscles in the front the pulling.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.138.1,The front left muscle is relaxing and the back leg muscle is contracting.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.141.1,I do not know.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.144.1,The tendon is pulling the muscle causing it to contract and move.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.148.1,The muscle in the back contracts and pulls the tendon and the muscle in the front relaxes.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.172.1,The stifulas is contracting.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.176.1,Your muscles are stretching.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.178.1,The back leg relaxes and the front leg contracts.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.181.1,The tibia contracts and the gastrocnemius relaxes.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.185.1,The gastrocnemius is working while the front muscle is relaxing.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.212.1,The back muscle contract and the front muscle relaxes.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.215.1,The back of the leg rest and the front of the leg work so she can stand on the tip of her toes.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.219.1,The brain tells the foot that the foot need to point.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.220.1,The back muscle gets bigger and the front gets longer.,False
seb2custom:HB_35,Describe how the muscles in the front and back of the leg work together to make the dancer's foot point.,HB.35.222.1,The front and back work together by pulling together muscles to cause the foot to point.,False
