Question ID,Question Text,Answer ID,Answer Text,Is Reference
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,answer378,"If B burns out, then there is still a closed path with the battery that contains A and C.",True
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,answer380,"If B burns out, then there is still a closed path that contains A and C.",True
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj3-l2.qa98,because they will still be contained in a closed path with the battery,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj7-l2.qa101,"there is a closed path that contains the battery, bulb a, and bulb c",False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj8-l2.qa108,not in the same path,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj9-l2.qa103,bulbs a and c will still be conained in closed paths with the battery.,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj10-l2.qa106,bulbs a and c are on a closed path with the battery,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj11-l2.qa104,bulb b does not create a gap in the path of bulb a and bulb c,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj11-l2.qa105,bulb b does not create a gap in the path of bulbs a and c.,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj11-l2.qa106,bulb a and bulb c will light up.,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj12-l2.qa109,Bulbs C and A will still be on closed paths with the battery,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj13-l2.qa112,bulb b is not in the same path of bulbs a and c,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj14-l2.qa108,Because Bulb b is not on a closed path.,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj15-l2.qa128,because i said so,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj18-l2.qa100,bulbs a and c will still be in a closed path with the battery,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj19-l2.qa125,they are in different paths,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj22-l2.qa108,l,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj23-l2.qa106,"Bulb A, Bulb C, and the battery are in a closed path.",False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj24-l2.qa103,they are in closed paths,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj26-l2.qa112,there is no pathway,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj26-l2.qa113,h,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj27-l2.qa112,bulbs a and c have their own closed path,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj27-l2.qa113,closed path,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj29-l2.qa112,bulbs a and c are not in closed path with bulb b,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj30-l2.qa112,Bulb A and C are on closed paths containing the battery.,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj31-l2.qa114,because a and c are on a closed path with the battery,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj33-l2.qa110,bulb B is not contained in the same closed path with the battery,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj34-l2.qa114,Bulbs A and C will still be contained in a closed path,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj35-l2.qa112,bulb a is no longer contained in a closed path with the battery. bulb c is still contained in a closed path with the battery,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj36-l2.qa104,there is a closed path,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj37-l2.qa101,bulb a will still be in a closed path with the battery. bulb c will still be in a closed path with the battery.,False
seb2custom:HYBRID_BURNED_OUT_EXPLAIN_Q2,Explain your reasoning.,SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q2.sbj38-l2.qa104,bulb a and bulb c are still in a closed path with the battery.,False
