Question ID,Question Text,Answer ID,Answer Text,Is Reference
seb2custom:DESCRIBE_GAP_LOCATE_PROCEDURE_Q,"Finally, consider finding a burned out light bulb in a long string of lights. One approach would be to place one lead of the multimeter on a battery terminal and then move the other lead systematically, one light bulb terminal at a time. How would you know when you have found the burned out bulb?",answer263,When there is a change in voltage you have found the damaged bulb,True
seb2custom:DESCRIBE_GAP_LOCATE_PROCEDURE_Q,"Finally, consider finding a burned out light bulb in a long string of lights. One approach would be to place one lead of the multimeter on a battery terminal and then move the other lead systematically, one light bulb terminal at a time. How would you know when you have found the burned out bulb?",answer265,the bulb with non-zero voltage reading between two terminals,True
seb2custom:DESCRIBE_GAP_LOCATE_PROCEDURE_Q,"Finally, consider finding a burned out light bulb in a long string of lights. One approach would be to place one lead of the multimeter on a battery terminal and then move the other lead systematically, one light bulb terminal at a time. How would you know when you have found the burned out bulb?",FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj3-l1.qa223,when the reading of the multimeter changes,False
seb2custom:DESCRIBE_GAP_LOCATE_PROCEDURE_Q,"Finally, consider finding a burned out light bulb in a long string of lights. One approach would be to place one lead of the multimeter on a battery terminal and then move the other lead systematically, one light bulb terminal at a time. How would you know when you have found the burned out bulb?",FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj7-l1.qa212,the voltage would change,False
seb2custom:DESCRIBE_GAP_LOCATE_PROCEDURE_Q,"Finally, consider finding a burned out light bulb in a long string of lights. One approach would be to place one lead of the multimeter on a battery terminal and then move the other lead systematically, one light bulb terminal at a time. How would you know when you have found the burned out bulb?",FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj8-l1.qa260,0 v,False
seb2custom:DESCRIBE_GAP_LOCATE_PROCEDURE_Q,"Finally, consider finding a burned out light bulb in a long string of lights. One approach would be to place one lead of the multimeter on a battery terminal and then move the other lead systematically, one light bulb terminal at a time. How would you know when you have found the burned out bulb?",FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj8-l1.qa261,when the meter reads that it has 0 V,False
seb2custom:DESCRIBE_GAP_LOCATE_PROCEDURE_Q,"Finally, consider finding a burned out light bulb in a long string of lights. One approach would be to place one lead of the multimeter on a battery terminal and then move the other lead systematically, one light bulb terminal at a time. How would you know when you have found the burned out bulb?",FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj8-l1.qa262,there is a change in voltage,False
seb2custom:DESCRIBE_GAP_LOCATE_PROCEDURE_Q,"Finally, consider finding a burned out light bulb in a long string of lights. One approach would be to place one lead of the multimeter on a battery terminal and then move the other lead systematically, one light bulb terminal at a time. How would you know when you have found the burned out bulb?",FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj9-l1.qa219,There will be a difference between voltage.,False
seb2custom:DESCRIBE_GAP_LOCATE_PROCEDURE_Q,"Finally, consider finding a burned out light bulb in a long string of lights. One approach would be to place one lead of the multimeter on a battery terminal and then move the other lead systematically, one light bulb terminal at a time. How would you know when you have found the burned out bulb?",FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj9-l1.qa220,There will be an electrical state change between two terminals.,False
seb2custom:DESCRIBE_GAP_LOCATE_PROCEDURE_Q,"Finally, consider finding a burned out light bulb in a long string of lights. One approach would be to place one lead of the multimeter on a battery terminal and then move the other lead systematically, one light bulb terminal at a time. How would you know when you have found the burned out bulb?",FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj9-l1.qa221,there will be a change in voltage between two terminals.,False
seb2custom:DESCRIBE_GAP_LOCATE_PROCEDURE_Q,"Finally, consider finding a burned out light bulb in a long string of lights. One approach would be to place one lead of the multimeter on a battery terminal and then move the other lead systematically, one light bulb terminal at a time. How would you know when you have found the burned out bulb?",FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj10-l1.qa250,when the multimeter measures 0 volts,False
