Question ID,Question Text,Answer ID,Answer Text,Is Reference
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,answer71,A damaged bulb and an open switch both create a gap and cause bulbs to go out,True
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,answer72,both a damaged bulb and an open switch cause bulbs to go out,True
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,answer73,a damaged bulb and an open switch create a gap,True
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,answer74,there is a gap,True
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,answer75,there is a gap in the circuit,True
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,answer76,they are the same,True
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,answer77,same,True
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,answer78,the damaged bulb has the same effect as the switch,True
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,answer79,both create a gap,True
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,answer80,they do the same thing,True
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj3-l1.qa101,it acts in the same manner,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj3-l1.qa102,its acts the same,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj3-l1.qa103,the bulb creates a gap and so does an open switch,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj7-l1.qa95,it acts the same way,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj7-l1.qa96,they both create a gap in the path,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj8-l1.qa119,a damaged bulb creates a gap. an open switch creates in incomplete path.,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj8-l1.qa120,a damaged bulb creates a gap while an open switch creates a incomplete path.,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj8-l1.qa121,a damaged bulb creates a gap while and open switch creates an incomplete circuit,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj8-l1.qa122,An open switch causes an incomplete circuit,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj9-l1.qa95,A damaged bulb and open switch created gaps in the path.,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj10-l1.qa114,they are the same,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj11-l1.qa120,the connect the circuit.,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj11-l1.qa121,they create gaps in the circuit.,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj12-l1.qa90,Same effect,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj12-l1.qa91,Both create a gap in the path,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj13-l1.qa113,it creates a gap.,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj13-l1.qa114,it is a gap in the circuit.,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj14-l1.qa111,They both have opened paths.,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj14-l1.qa112,They both have gaps.,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj15-l1.qa128,both dont allow for a closed path,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj15-l1.qa129,both create a gap,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj18-l1.qa97,It acts the same.,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj18-l1.qa98,It is the same.,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj18-l1.qa99,A damaged bulb is the same as an open switch.,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj18-l1.qa100,A damaged bulb and an open switch are the same.,False
seb2custom:DAMAGED_BULB_SWITCH_Q,How does a damaged bulb compare to an open switch?,SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj19-l1.qa127,creates a gap,False
